Optimization,N=M=K size,Time(ms)
o1,100,4.47101
o2,100,3.95766
o3,100,1.3578
o4,100,0.0468495
o1,1000,3774.27
o2,1000,3598.63
o3,1000,712.533
o4,1000,22.5418
